tool,sentiment,sentiment_score,text
ChatGPT,positive,0.982923686504364,"Your videos are always so helpful, thank you!"
ChatGPT,neutral,0.9097414016723633,9:05 where math starts
ChatGPT,positive,0.9794663190841675,"This was very informative, appreciate it."
ChatGPT,positive,0.982923686504364,"Your videos are always so helpful, thank you!"
ChatGPT,neutral,0.5241732597351074,This is litreally stuff of life more like stuff of inteligence..
ChatGPT,negative,0.799789309501648,I didn’t understand anything. Can anyone please explain
ChatGPT,positive,0.986391544342041,"Loved the content, keep it coming!"
ChatGPT,positive,0.9814136028289795,"You explained this so well, thank you!"
ChatGPT,positive,0.9328339099884033,"""Even when it works, dig into why"" - 3B1B.   Your lessons are pure gold sir. I'm  here after watching the entire Essence of Linear Algebra. Thank you."
ChatGPT,positive,0.9887903928756714,"Awesome video, looking forward to the next one!"
ChatGPT,positive,0.986391544342041,"Loved the content, keep it coming!"
ChatGPT,neutral,0.47037091851234436,"How did I missed this, it was 8 years ago "
